date,co2_em_kt
1960,2427.554
1961,2401.885
1962,2625.572
1963,2856.593
1964,2827.257
1965,2467.891
1966,2684.244
1967,2702.579
1968,2819.923
1969,3131.618
1970,3083.947
1971,3685.335
1972,3872.352
1973,3920.023
1974,4950.45
1975,4976.119
1976,4609.419
1977,5056.793
1978,5324.484
1979,5038.458
1980,6197.23
1981,6527.26
1982,4693.76
1983,4660.757
1984,4319.726
1985,3769.676
1986,4162.045
1987,5174.137
1988,4789.102
1989,5192.472
1990,5823.196
1991,4840.44
1992,5540.837
1993,6347.577
1994,6556.596
1995,7554.02
1996,9328.848
1997,8265.418
1998,10036.579
1999,10172.258
2000,10417.947
2001,9369.185
2002,7968.391
2003,6754.614
2004,7623.693
2005,8562.445
2006,9574.537
2007,9831.227
2008,10241.931
2009,12350.456
2010,12174.44
2011,13457.89
2012,12515.471
2013,13333.212
2014,14286.632
